categorie;reference;designation;quantite;prix_unitaire 
GAME LENOVO ( CORE I5);20W00124FR;LENOVO ThinkPad T14 Gen2 Intel Core i5-1135G7 14p FHD 16Go 512Go SSD M.2 2280 Intel UHD Graphics W10;10;965 000
GAME LENOVO ( CORE I5);21JKCTO1WWFR1;Lenovo ThinkPad E14 Gen 5 (Intel) Intel Core i5-1335U 16 GB DDR4 / Disque SSD M.2  512GB 14.0”, WUXGA;25;695 000
GAME LENOVO ( CORE I5);21JLS39E00;Lenovo ThinkPad E14-G5 14FHD Ci5-1335U 16 GB 512SSD Window 11 pro;10;695 000
GAME LENOVO ( CORE I5);21JN008HFE;Lenovo ThinkPad E16-G1 16FHD Ci5-1335U 16 GB 512SSD FPR Free Dos 1Y;5;670 000
GAME LENOVO ( CORE I5);20X100J3FR;Lenovo ThinkPad L14 Gen 2 20X1 -Core i5 1145G7 -  16 Go RAM - 512 Go SSD ,Win 10 Pro 64, NVMe, FR;7;650 000
GAME LENOVO ( CORE I5);20W1S2F400;"Lenovo ThinkPad T14 Gen 2 20W1 Core i5 1135G7/2.4 GHz-Win10 Pro 64-bit 16 GB RAM-512GB SSD 14"" Wi-Fi";14;1 020 000
GAME LENOVO ( CORE I5);20WM0090;Lenovo ThinkPad T14s Gen 2 20WM - Core i5 1135G7/2,4 GHz -Win10Pro/ 16  Go 512GB SSD M2.2280 NVME;26;1 195 000
GAME DELL ( CORE I5 );47VKD-5440;Dell Latitude 5440 - Intel Core i5 1335U / 16 Go RAM - 512 Go SSD NVMe  Win 11 Pro,Carte graphique I;15;975 000
GAME DELL ( CORE I5 );P112F002;"Dell Inspiron 3520 - Intel Core i5-1135G7 - 16 Go RAM - 1 To SSD - 15,6"" FHD - Win 11 F - Clavier FR";10;550 000
GAME HP   ( CORE I5 );2X7F2EA;HP EliteBook 450 Home G8 Intel core i5-1135G7 15.6p FHD AG 16 Go 512 Go SSD Intel Iri;10;810 000
GAME HP   ( CORE I5 );859R0EA;"HP Portable 440 G10 Notebook - Intel Core i5 - 1335U / jusqu'à 4.6 GHz - Win 11 Pro - Carte graphique Intel Iris Xe - 16 Go RAM - 512 Go SSD NVMe - 14"" IPS 1920 x 1080 (Full HD) - 802.11a/b/g/n/ac/ax (Wi-Fi 6E) - brochet argent aluminium, clavier : Français ";10;850 000
GAME HP   ( CORE I5 );4J6J9UA;"HP Envy x360 13 2-en-1 Écran tactile FHD IPS 13,3"" i5-1135G7 de 11eG 16 Go de RAM 512 Go SSD Win10";23;780 000
GAME HP   ( CORE I5 );4A7F5EA;HP Envy X360 13-Bd0026nf Core i5-1135G7 16 Go 512 Go Écran tactile - CLAVIER rétro éclairé Win11 home;21;775 000
GAME HP   ( CORE I5 );336D8EA;Hp Elitebook 840 G8 336d8ea 14 pouces intel core i5-1135G7 16 Go Ram DDR4 512 Go ssd win 10 pro argent;32;1 060 000
GAME HP   ( CORE I5 );3JX27EA;HP Elitebook 840 G5 Core i5 8250U 16 Go RAM, 512 Go SSD NVMe,14' Win 10Pro;32;595 000
GAME HP   ( CORE I5 );2X7X1EA;HP ProBook 450 G8 i5-1135G7 16 Go SDRAM DDR4-3200 (2 x 4 Go)  512 GB SSD PCIe NVMe M.2 TLC Wifi AX+BT;12;740 000
GAME HP   ( CORE I5 );19X35AV;HP EliteBook 840 G8 Brand New 11th Gen. | i5-1135G7 | 16 GB | 512GB SSD | Integrated | Fingerprint Rea;12;1 000 000
GAME HP   ( CORE I5 );617P1EA;HP Pavilion Laptop 14-dv1041nf Core™ i5-1155G7/16 GB DDR4-3200 MHz RAM/ 512GB/Wi-Fi/Bluet/Win11home;12;675 000
GAME LENOVO (CORE I7);20TD00GLFR-70;Lenovo ThinkPad E15 Gen 2 Core i7 1165G7 16 Go RAM, 512 Go SSD NVMe Win 11 Pro 64bit Garantie 1 An;25;950 000
GAME LENOVO (CORE I7);21JGA06CFR;Lenovo Thinkbook 14s Yoga-G3 14'' Ci7-1355U 16GB 512SSD Win11Pro;24;1 195 000
GAME LENOVO (CORE I7);21HESBEC00;LENOVO THINKPAD T14  i7-1355U 32 GB RAM 1TB SSD Dos 3 Years Warranty;21;1 150 000
GAME LENOVO (CORE I7);21JN00CWFE;Lenovo ThinkPad E16-G1 16FHD Ci7-13700H 16GB 512SSD FPR Free Dos 1Y;21;750 000
GAME LENOVO (CORE I7);21HD008DFE;Lenovo ThinkPad T14-G4 14FHD Ci7-1355U 16GB 512SSD Win11 Pro 3Y;21;1 150 000
GAME LENOVO (CORE I7);21F60069FE;Lenovo ThinkPad T14s-G4 14FHD Ci7-1355U 16GB 1T-SSD Win11 Pro 3Y;20;1 350 000
